state,district,total_cultivated_area_ha,dominant_crop,dominant_crop_area_ha,top_crops_summary
Karnataka,Mysuru,296214.0,Tobacco,78005.0,Tobacco: 78005.0ha; Rice: 41841.0ha; Cotton(lint): 36379.0ha; Coconut: 23332.0ha; Ragi: 19116.7ha
Karnataka,Raichur,476261.2,Gram,128122.8,Gram: 128122.8ha; Arhar/Tur: 93694.5ha; Cotton(lint): 81526.8ha; Rice: 79693.1ha; Jowar: 37238.7ha
Karnataka,Ramanagara,66959.2,Coconut,25443.8,Coconut: 25443.8ha; Ragi: 20704.6ha; Horse-gram: 4107.9ha; Other Kharif pulses: 3726.2ha; Arhar/Tur: 2418.8ha
Karnataka,Shimoga,141030.2,Arecanut,68784.0,Arecanut: 68784.0ha; Rice: 32560.8ha; Maize: 21185.3ha; Coconut: 5581.0ha; Ginger: 5076.3ha
Karnataka,Shivamogga,179758.1,Arecanut,93584.0,Arecanut: 93584.0ha; Rice: 44723.0ha; Maize: 21637.7ha; Coconut: 7079.0ha; Black pepper: 4903.0ha
Karnataka,Tumakuru,351490.9,Coconut,176243.0,Coconut: 176243.0ha; Arecanut: 55710.0ha; Ragi: 47999.3ha; Groundnut: 24630.5ha; Horse-gram: 10042.0ha
Karnataka,Tumkur,343667.7,Coconut,164744.3,Coconut: 164744.3ha; Ragi: 46466.6ha; Arecanut: 42679.7ha; Groundnut: 35446.2ha; Arhar/Tur: 11870.7ha
Karnataka,Udupi,72077.1,Coconut,20728.5,Coconut: 20728.5ha; Cashewnut: 18772.8ha; Arecanut: 14883.0ha; Rice: 13988.1ha; Groundnut: 1369.8ha
Karnataka,Uttar Kannad,70988.9,Arecanut,22813.7,Arecanut: 22813.7ha; Rice: 20383.3ha; Coconut: 8961.3ha; Sugarcane: 6388.5ha; Cashewnut: 3693.0ha
Karnataka,Uttara Kannada,81187.7,Arecanut,30549.0,Arecanut: 30549.0ha; Rice: 15915.7ha; Coconut: 10089.0ha; Sugarcane: 7788.0ha; Black pepper: 4787.0ha
Karnataka,Vijayapura,843463.1,Arhar/Tur,497180.0,Arhar/Tur: 497180.0ha; Gram: 119788.0ha; Jowar: 52004.5ha; Sugarcane: 35538.0ha; Wheat: 28460.0ha
Karnataka,Yadagiri,281270.4,Arhar/Tur,109136.0,Arhar/Tur: 109136.0ha; Cotton(lint): 77713.5ha; Rice: 60209.0ha; Moong(Green Gram): 11907.5ha; Jowar: 6704.7ha
Karnataka,Yadgir,289815.6,Arhar/Tur,86708.3,Arhar/Tur: 86708.3ha; Cotton(lint): 83424.7ha; Rice: 36629.5ha; Groundnut: 22865.7ha; Moong(Green Gram): 22037.8ha
Kerala,Alappuzha,52578.7,Coconut,33551.8,Coconut: 33551.8ha; Rice: 12311.6ha; Tapioca: 2278.7ha; Cashewnut: 1643.5ha; Arecanut: 1395.3ha
Kerala,Ernakulam,59863.6,Coconut,40900.8,Coconut: 40900.8ha; Tapioca: 5377.5ha; Banana: 5234.2ha; Arecanut: 4038.9ha; Black pepper: 1842.9ha
Kerala,Idukki,104970.2,Black pepper,43562.2,Black pepper: 43562.2ha; Cardamom: 31116.2ha; Coconut: 15026.7ha; Tapioca: 6368.1ha; Banana: 3406.2ha
Kerala,Kannur,126596.2,Coconut,86182.4,Coconut: 86182.4ha; Cashewnut: 19720.5ha; Arecanut: 9502.5ha; Black pepper: 4456.4ha; Banana: 2140.4ha
Kerala,Kasaragod,97937.2,Coconut,65407.5,Coconut: 65407.5ha; Arecanut: 20377.0ha; Cashewnut: 7044.7ha; Black pepper: 3052.1ha; Rice: 778.9ha
Kerala,Kollam,71847.4,Coconut,47025.3,Coconut: 47025.3ha; Tapioca: 13714.9ha; Banana: 3266.1ha; Black pepper: 2951.8ha; Cashewnut: 1894.0ha
Kerala,Kottayam,46166.0,Coconut,25491.0,Coconut: 25491.0ha; Rice: 6296.2ha; Tapioca: 6068.3ha; Black pepper: 3115.0ha; Banana: 3097.9ha
Kerala,Kozhikode,135020.2,Coconut,115485.0,Coconut: 115485.0ha; Arecanut: 9869.7ha; Black pepper: 3610.9ha; Banana: 1682.2ha; Cashewnut: 1594.3ha
Kerala,Malappuram,141940.4,Coconut,104497.9,Coconut: 104497.9ha; Arecanut: 18320.5ha; Banana: 6491.5ha; Tapioca: 5036.3ha; Rice: 2661.6ha
Kerala,Palakkad,114461.3,Coconut,56630.6,Coconut: 56630.6ha; Rice: 24557.7ha; Banana: 14157.2ha; Arecanut: 7973.9ha; Cardamom: 2754.2ha
Kerala,Pathanamthitta,28365.3,Coconut,15891.2,Coconut: 15891.2ha; Tapioca: 4912.4ha; Banana: 2185.6ha; Black pepper: 1645.0ha; Arecanut: 1034.9ha
Kerala,Thiruvananthapuram,91557.8,Coconut,70027.0,Coconut: 70027.0ha; Tapioca: 13781.5ha; Banana: 3078.5ha; Black pepper: 2025.1ha; Arecanut: 913.8ha
Kerala,Thrissur,99145.0,Coconut,79660.2,Coconut: 79660.2ha; Rice: 7275.5ha; Arecanut: 5785.9ha; Banana: 2072.8ha; Black pepper: 1794.2ha
Kerala,Wayanad,56486.9,Arecanut,12084.1,Arecanut: 12084.1ha; Black pepper: 10398.4ha; Banana: 10288.2ha; Coconut: 10138.1ha; Cardamom: 4115.8ha
Laddakh,Kargil,273.0,Other Cereals,273.0,Other Cereals: 273.0ha
Madhya Pradesh,Agar Malwa,333689.9,Soyabean,145966.5,Soyabean: 145966.5ha; Wheat: 74198.8ha; Gram: 43912.8ha; Coriander: 18284.0ha; Masoor: 10302.7ha
Madhya Pradesh,Alirajpur,181721.6,Urad,34796.5,Urad: 34796.5ha; Wheat: 26689.0ha; Soyabean: 24339.5ha; Maize: 22555.0ha; Bajra: 12830.5ha
Madhya Pradesh,Anuppur,196807.3,Rice,88726.0,Rice: 88726.0ha; Wheat: 19469.5ha; Masoor: 13983.0ha; Gram: 10488.5ha; Small millets: 10398.0ha
Madhya Pradesh,Ashoknagar,554288.6,Soyabean,180245.8,Soyabean: 180245.8ha; Wheat: 172044.0ha; Gram: 95167.2ha; Urad: 52871.2ha; Coriander: 15721.8ha
Madhya Pradesh,Balaghat,361628.3,Rice,190107.7,Rice: 190107.7ha; Wheat: 51765.8ha; Gram: 48878.8ha; Linseed: 13796.2ha; Rapeseed &Mustard: 12862.5ha
Madhya Pradesh,Barwani,296968.1,Wheat,76614.2,Wheat: 76614.2ha; Cotton(lint): 70141.5ha; Maize: 39545.3ha; Soyabean: 31428.8ha; Jowar: 25146.8ha
Madhya Pradesh,Betul,590852.7,Soyabean,199780.8,Soyabean: 199780.8ha; Wheat: 160530.5ha; Maize: 82846.7ha; Gram: 55072.8ha; Rice: 30479.4ha
Madhya Pradesh,Bhind,452014.2,Rapeseed &Mustard,190001.8,Rapeseed &Mustard: 190001.8ha; Wheat: 117282.8ha; Bajra: 59668.2ha; Sesamum: 20580.8ha; Rice: 14100.0ha
Madhya Pradesh,Bhopal,250880.9,Soyabean,106294.0,Soyabean: 106294.0ha; Wheat: 90234.0ha; Gram: 21031.8ha; Rice: 12124.3ha; Maize: 4436.4ha
Madhya Pradesh,Burhanpur,136762.8,Cotton(lint),35351.0,Cotton(lint): 35351.0ha; Banana: 20458.0ha; Wheat: 15727.5ha; Soyabean: 14125.2ha; Gram: 11603.0ha
Madhya Pradesh,Chhatarpur,658895.9,Wheat,255501.0,Wheat: 255501.0ha; Urad: 107372.9ha; Sesamum: 94457.0ha; Gram: 71495.5ha; Soyabean: 31047.0ha
Madhya Pradesh,Chhindwara,674954.4,Wheat,215145.5,Wheat: 215145.5ha; Maize: 201202.7ha; Gram: 54887.8ha; Cotton(lint): 42064.0ha; Soyabean: 27977.0ha
Madhya Pradesh,Damoh,554564.5,Gram,156871.0,Gram: 156871.0ha; Wheat: 119313.8ha; Urad: 72037.6ha; Soyabean: 65141.8ha; Rice: 61993.8ha
Madhya Pradesh,Datia,355976.3,Wheat,160832.5,Wheat: 160832.5ha; Urad: 43071.3ha; Rice: 35815.5ha; Sesamum: 35538.5ha; Gram: 19806.2ha
Madhya Pradesh,Dewas,793358.4,Soyabean,352849.0,Soyabean: 352849.0ha; Wheat: 196483.0ha; Gram: 166012.8ha; Maize: 18638.2ha; Onion: 12958.0ha
Madhya Pradesh,Dhar,904460.5,Soyabean,295623.8,Soyabean: 295623.8ha; Wheat: 255619.8ha; Gram: 113571.8ha; Cotton(lint): 95893.0ha; Maize: 48139.3ha
Madhya Pradesh,Dindori,309915.1,Rice,95986.8,Rice: 95986.8ha; Wheat: 45115.8ha; Masoor: 36381.2ha; Small millets: 23874.0ha; Maize: 23070.5ha
Madhya Pradesh,Guna,642195.3,Soyabean,224282.2,Soyabean: 224282.2ha; Wheat: 156174.0ha; Coriander: 83331.0ha; Gram: 79773.0ha; Urad: 52452.0ha
Madhya Pradesh,Gwalior,306758.2,Wheat,125915.2,Wheat: 125915.2ha; Rapeseed &Mustard: 46010.2ha; Rice: 36695.7ha; Sesamum: 24935.0ha; Gram: 17646.5ha
Madhya Pradesh,Harda,386276.3,Wheat,140876.0,Wheat: 140876.0ha; Soyabean: 136748.5ha; Gram: 43474.2ha; Urad: 30815.8ha; Moong(Green Gram): 17839.6ha
Madhya Pradesh,Hoshangabad,645774.1,Wheat,270142.8,Wheat: 270142.8ha; Rice: 134080.0ha; Soyabean: 70727.2ha; Gram: 48949.0ha; Moong(Green Gram): 42620.7ha
Madhya Pradesh,Indore,515187.7,Soyabean,230148.0,Soyabean: 230148.0ha; Wheat: 138515.0ha; Gram: 65684.0ha; Potato: 45430.5ha; Onion: 13111.0ha
Madhya Pradesh,Jabalpur,489023.6,Wheat,178808.5,Wheat: 178808.5ha; Rice: 135352.2ha; Gram: 47295.0ha; Urad: 28827.7ha; Peas & beans (Pulses): 27596.2ha
Madhya Pradesh,Jhabua,230216.1,Soyabean,66938.0,Soyabean: 66938.0ha; Wheat: 58399.0ha; Maize: 33020.7ha; Cotton(lint): 22846.2ha; Gram: 20508.0ha
Madhya Pradesh,Katni,386557.8,Wheat,149038.5,Wheat: 149038.5ha; Rice: 137595.5ha; Gram: 35452.5ha; Peas & beans (Pulses): 8856.2ha; Masoor: 8485.8ha
Madhya Pradesh,Khandwa,518993.6,Soyabean,175645.0,Soyabean: 175645.0ha; Wheat: 167520.5ha; Cotton(lint): 56714.8ha; Gram: 44467.5ha; Maize: 22049.8ha
Madhya Pradesh,Khargone,675036.6,Cotton(lint),216093.8,Cotton(lint): 216093.8ha; Wheat: 198196.0ha; Gram: 72497.5ha; Soyabean: 64123.8ha; Maize: 48097.2ha
Madhya Pradesh,Mandla,334057.7,Rice,152502.5,Rice: 152502.5ha; Wheat: 57681.5ha; Masoor: 20164.5ha; Maize: 18440.8ha; Small millets: 18360.2ha
Madhya Pradesh,Mandsaur,602958.9,Soyabean,265376.0,Soyabean: 265376.0ha; Wheat: 145186.0ha; Gram: 48992.0ha; Coriander: 33404.2ha; Rapeseed &Mustard: 25971.5ha
Madhya Pradesh,Morena,491605.3,Bajra,171100.5,Bajra: 171100.5ha; Rapeseed &Mustard: 144527.2ha; Wheat: 114578.5ha; Sesamum: 14849.0ha; Arhar/Tur: 13175.2ha
Madhya Pradesh,Narsinghpur,494198.5,Wheat,114318.5,Wheat: 114318.5ha; Gram: 89272.2ha; Sugarcane: 60088.5ha; Arhar/Tur: 50004.0ha; Rice: 35351.0ha
Madhya Pradesh,Neemuch,332547.0,Soyabean,133670.0,Soyabean: 133670.0ha; Wheat: 67492.2ha; Garlic: 29125.0ha; Gram: 27663.5ha; Coriander: 21200.0ha
Madhya Pradesh,Niwari,81651.0,Wheat,77809.0,Wheat: 77809.0ha; Gram: 1382.0ha; Rapeseed &Mustard: 1367.0ha; Barley: 621.0ha; Peas & beans (Pulses): 444.0ha
Madhya Pradesh,Panna,407541.0,Wheat,101552.8,Wheat: 101552.8ha; Gram: 86620.2ha; Rice: 70486.8ha; Urad: 47139.3ha; Sesamum: 27013.5ha
Madhya Pradesh,Raisen,738436.1,Wheat,238227.2,Wheat: 238227.2ha; Rice: 155517.2ha; Gram: 135474.0ha; Soyabean: 89305.8ha; Arhar/Tur: 35917.5ha
Madhya Pradesh,Rajgarh,843940.3,Soyabean,355657.5,Soyabean: 355657.5ha; Wheat: 219665.8ha; Gram: 91866.8ha; Coriander: 53740.0ha; Masoor: 40745.5ha
Madhya Pradesh,Ratlam,575524.3,Soyabean,239515.0,Soyabean: 239515.0ha; Wheat: 150271.5ha; Gram: 75910.8ha; Garlic: 26900.0ha; Maize: 26562.4ha
Madhya Pradesh,Rewa,641499.6,Wheat,241050.0,Wheat: 241050.0ha; Rice: 182385.0ha; Gram: 42177.0ha; Arhar/Tur: 24222.0ha; Soyabean: 23406.0ha
Madhya Pradesh,Sagar,955866.4,Wheat,285681.8,Wheat: 285681.8ha; Soyabean: 279666.8ha; Gram: 164352.0ha; Urad: 100720.0ha; Masoor: 49337.8ha
Madhya Pradesh,Satna,668396.0,Wheat,220250.5,Wheat: 220250.5ha; Rice: 152205.2ha; Gram: 81631.0ha; Urad: 45889.5ha; Arhar/Tur: 38788.5ha
Madhya Pradesh,Sehore,755125.4,Soyabean,301230.0,Soyabean: 301230.0ha; Wheat: 264870.0ha; Gram: 96428.0ha; Rice: 31216.0ha; Moong(Green Gram): 14315.8ha
Madhya Pradesh,Seoni,542473.7,Wheat,203849.2,Wheat: 203849.2ha; Maize: 106804.7ha; Rice: 105198.0ha; Gram: 38733.0ha; Masoor: 16224.2ha
Madhya Pradesh,Shahdol,230227.6,Rice,101861.4,Rice: 101861.4ha; Wheat: 48248.8ha; Arhar/Tur: 10813.0ha; Gram: 9119.5ha; Soyabean: 8133.8ha
Madhya Pradesh,Shajapur,520019.0,Soyabean,261502.8,Soyabean: 261502.8ha; Wheat: 134727.0ha; Gram: 69735.0ha; Masoor: 21163.5ha; Onion: 9362.8ha
Madhya Pradesh,Sheopur,315245.5,Wheat,100160.5,Wheat: 100160.5ha; Rapeseed &Mustard: 34732.0ha; Rice: 34667.2ha; Soyabean: 31630.0ha; Urad: 24237.2ha
Madhya Pradesh,Shivpuri,691275.0,Wheat,211347.8,Wheat: 211347.8ha; Soyabean: 130762.0ha; Groundnut: 80895.6ha; Gram: 74118.8ha; Urad: 73100.2ha
Madhya Pradesh,Sidhi,282581.8,Wheat,86848.8,Wheat: 86848.8ha; Rice: 80153.5ha; Gram: 25204.5ha; Arhar/Tur: 17682.5ha; Maize: 8795.5ha
Madhya Pradesh,Singrauli,268832.9,Wheat,64892.8,Wheat: 64892.8ha; Rice: 62810.8ha; Gram: 20188.2ha; Arhar/Tur: 18784.8ha; Maize: 15921.7ha
Madhya Pradesh,Tikamgarh,437313.1,Wheat,182662.0,Wheat: 182662.0ha; Urad: 123534.8ha; Groundnut: 24439.8ha; Sesamum: 23761.5ha; Soyabean: 14285.5ha
Madhya Pradesh,Ujjain,978235.1,Soyabean,478976.0,Soyabean: 478976.0ha; Wheat: 279999.2ha; Gram: 145022.2ha; Garlic: 20281.3ha; Potato: 13350.7ha
Madhya Pradesh,Umaria,162112.6,Wheat,49783.5,Wheat: 49783.5ha; Rice: 38487.3ha; Gram: 12951.0ha; Arhar/Tur: 10116.8ha; Small millets: 7588.0ha
Madhya Pradesh,Vidisha,964961.6,Soyabean,324263.2,Soyabean: 324263.2ha; Wheat: 302060.8ha; Gram: 174468.5ha; Urad: 79570.6ha; Masoor: 35992.0ha
Maharashtra,Ahmednagar,1031997.7,Jowar,230739.5,Jowar: 230739.5ha; Gram: 153710.8ha; Cotton(lint): 138595.5ha; Bajra: 135800.0ha; Sugarcane: 92698.2ha
Maharashtra,Akola,584360.4,Soyabean,210939.5,Soyabean: 210939.5ha; Cotton(lint): 160731.5ha; Gram: 86010.5ha; Arhar/Tur: 56645.5ha; Moong(Green Gram): 22871.0ha
Maharashtra,Amravati,844351.3,Soyabean,295092.0,Soyabean: 295092.0ha; Cotton(lint): 223354.5ha; Arhar/Tur: 114434.2ha; Gram: 104673.2ha; Wheat: 45706.5ha
Maharashtra,Aurangabad,819851.4,Cotton(lint),461946.2,Cotton(lint): 461946.2ha; Gram: 64051.2ha; Bajra: 55092.8ha; Jowar: 53706.8ha; Arhar/Tur: 50083.5ha
Maharashtra,Beed,1114336.6,Cotton(lint),363095.2,Cotton(lint): 363095.2ha; Soyabean: 203464.0ha; Jowar: 148314.1ha; Bajra: 104850.8ha; Gram: 87417.0ha
Maharashtra,Bhandara,159499.6,Rice,90204.4,Rice: 90204.4ha; Other Rabi pulses: 20671.2ha; Gram: 12852.8ha; Arhar/Tur: 11852.0ha; Wheat: 10258.0ha
Maharashtra,Buldhana,892403.1,Soyabean,383980.5,Soyabean: 383980.5ha; Cotton(lint): 179642.5ha; Gram: 117762.8ha; Arhar/Tur: 83884.8ha; Wheat: 53188.8ha
Maharashtra,Chandrapur,434971.6,Cotton(lint),158947.8,Cotton(lint): 158947.8ha; Soyabean: 81318.8ha; Rice: 69308.1ha; Arhar/Tur: 42854.0ha; Gram: 29952.2ha
Maharashtra,Dhule,529125.0,Cotton(lint),213479.0,Cotton(lint): 213479.0ha; Bajra: 73122.2ha; Gram: 56335.2ha; Wheat: 48473.5ha; Maize: 25616.5ha
Maharashtra,Gadchiroli,123845.8,Rice,79968.9,Rice: 79968.9ha; Gram: 14182.2ha; Other Rabi pulses: 12514.2ha; Cotton(lint): 6038.2ha; Arhar/Tur: 5176.2ha
Maharashtra,Gondia,116075.0,Rice,87148.0,Rice: 87148.0ha; Other Rabi pulses: 10528.2ha; Arhar/Tur: 6133.2ha; Gram: 5500.8ha; Wheat: 2647.0ha
Maharashtra,Hingoli,542456.1,Soyabean,199344.0,Soyabean: 199344.0ha; Gram: 73991.2ha; Cotton(lint): 73166.5ha; Arhar/Tur: 62729.2ha; Moong(Green Gram): 34186.2ha
Maharashtra,Jalgaon,900740.7,Cotton(lint),514019.2,Cotton(lint): 514019.2ha; Gram: 68494.2ha; Maize: 65946.7ha; Wheat: 55596.8ha; Jowar: 44405.6ha
Maharashtra,Jalna,699626.6,Cotton(lint),294914.5,Cotton(lint): 294914.5ha; Soyabean: 127182.8ha; Arhar/Tur: 52457.8ha; Jowar: 43441.2ha; Gram: 42200.0ha
Maharashtra,Kolhapur,324476.9,Sugarcane,141575.0,Sugarcane: 141575.0ha; Rice: 55294.2ha; Soyabean: 50807.0ha; Groundnut: 23548.6ha; Ragi: 20317.8ha
Maharashtra,Latur,864165.3,Soyabean,403020.2,Soyabean: 403020.2ha; Gram: 173586.0ha; Arhar/Tur: 115031.5ha; Jowar: 54889.2ha; Sugarcane: 35265.5ha
Maharashtra,Mumbai Suburban,1146.0,Linseed,1046.0,Linseed: 1046.0ha; Maize: 100.0ha
Maharashtra,Nagpur,605442.2,Soyabean,147637.8,Soyabean: 147637.8ha; Cotton(lint): 144409.8ha; Wheat: 127560.2ha; Arhar/Tur: 65000.0ha; Gram: 61933.8ha
Maharashtra,Nanded,1017933.2,Soyabean,329118.2,Soyabean: 329118.2ha; Cotton(lint): 287355.8ha; Gram: 116553.2ha; Arhar/Tur: 79590.5ha; Jowar: 52903.2ha
Maharashtra,Nandurbar,316533.2,Cotton(lint),102814.0,Cotton(lint): 102814.0ha; Soyabean: 26972.5ha; Gram: 26788.5ha; Rice: 26244.5ha; Jowar: 22489.1ha
Maharashtra,Nashik,617650.5,Bajra,120133.2,Bajra: 120133.2ha; Wheat: 84416.8ha; Rice: 73683.5ha; Soyabean: 70539.2ha; Gram: 64566.0ha
Maharashtra,Osmanabad,606927.1,Soyabean,165332.8,Soyabean: 165332.8ha; Gram: 128727.5ha; Jowar: 76515.8ha; Arhar/Tur: 65443.0ha; Sugarcane: 33551.5ha
Maharashtra,Palghar,67609.9,Rice,38951.0,Rice: 38951.0ha; Ragi: 10601.0ha; Other Cereals: 5621.5ha; Urad: 3195.2ha; Other Rabi pulses: 2755.0ha
Maharashtra,Parbhani,739241.0,Soyabean,242456.5,Soyabean: 242456.5ha; Cotton(lint): 191758.0ha; Jowar: 73135.8ha; Gram: 72887.5ha; Arhar/Tur: 48779.0ha
Maharashtra,Pune,541035.0,Sugarcane,115259.2,Sugarcane: 115259.2ha; Jowar: 107476.0ha; Gram: 84161.2ha; Wheat: 59388.5ha; Rice: 55744.5ha
Maharashtra,Raigad,78170.1,Rice,55064.6,Rice: 55064.6ha; Other Rabi pulses: 13337.2ha; Ragi: 5781.2ha; Other Cereals: 1264.2ha; Gram: 732.3ha
Maharashtra,Ratnagiri,56872.8,Rice,37762.0,Rice: 37762.0ha; Ragi: 13207.0ha; Other Rabi pulses: 4702.8ha; Other Cereals: 310.9ha; Gram: 211.0ha
Maharashtra,Sangli,421103.9,Jowar,95213.0,Jowar: 95213.0ha; Sugarcane: 83069.8ha; Bajra: 53638.0ha; Soyabean: 47460.5ha; Gram: 24264.2ha
Maharashtra,Satara,496470.5,Jowar,83412.6,Jowar: 83412.6ha; Sugarcane: 74367.0ha; Soyabean: 68299.2ha; Bajra: 62068.5ha; Rice: 47365.2ha
Maharashtra,Sindhudurg,40431.4,Rice,32015.1,Rice: 32015.1ha; Other Rabi pulses: 3311.2ha; Ragi: 1686.8ha; Sugarcane: 1153.5ha; Arhar/Tur: 713.0ha
Maharashtra,Solapur,745709.9,Jowar,328480.0,Jowar: 328480.0ha; Sugarcane: 113088.2ha; Wheat: 68370.8ha; Gram: 60591.2ha; Arhar/Tur: 36654.0ha
Maharashtra,Thane,36215.6,Rice,27505.5,Rice: 27505.5ha; Other Rabi pulses: 3183.2ha; Ragi: 2375.8ha; Gram: 1296.5ha; Other Cereals: 1052.8ha
Maharashtra,Wardha,500641.4,Cotton(lint),246330.8,Cotton(lint): 246330.8ha; Soyabean: 118709.0ha; Arhar/Tur: 80717.5ha; Gram: 33822.8ha; Wheat: 14011.2ha
Maharashtra,Washim,491921.6,Soyabean,300029.0,Soyabean: 300029.0ha; Arhar/Tur: 57424.5ha; Gram: 57360.8ha; Wheat: 22993.0ha; Cotton(lint): 19692.8ha
Maharashtra,Yavatmal,1073868.0,Cotton(lint),455982.0,Cotton(lint): 455982.0ha; Soyabean: 267518.2ha; Arhar/Tur: 143998.8ha; Gram: 113647.8ha; Wheat: 38311.6ha
Manipur,Bishnupur,49462.7,Rice,31566.7,Rice: 31566.7ha; Rapeseed &Mustard: 5413.3ha; Peas & beans (Pulses): 2633.3ha; Potato: 2480.0ha; Sugarcane: 1566.7ha
Manipur,Chandel,25368.4,Rice,10023.3,Rice: 10023.3ha; Ginger: 3533.3ha; Rapeseed &Mustard: 2560.0ha; Maize: 1905.0ha; Potato: 1730.0ha
Manipur,Churachandpur,42389.3,Rice,29093.3,Rice: 29093.3ha; Maize: 3165.0ha; Rapeseed &Mustard: 2556.7ha; Potato: 1823.3ha; Peas & beans (Pulses): 1354.0ha
Manipur,Imphal East,52075.5,Rice,40640.0,Rice: 40640.0ha; Rapeseed &Mustard: 3173.3ha; Peas & beans (Pulses): 2500.7ha; Potato: 1186.7ha; Soyabean: 755.0ha
Manipur,Imphal West,56046.6,Rice,43900.0,Rice: 43900.0ha; Rapeseed &Mustard: 2763.3ha; Peas & beans (Pulses): 2466.0ha; Potato: 1310.0ha; Sugarcane: 870.0ha
Manipur,Senapati,23697.3,Rice,12100.0,Rice: 12100.0ha; Rapeseed &Mustard: 2683.3ha; Maize: 2406.7ha; Peas & beans (Pulses): 1570.7ha; Potato: 1223.3ha
Manipur,Tamenglong,38880.8,Rice,27446.7,Rice: 27446.7ha; Rapeseed &Mustard: 2543.3ha; Potato: 2103.3ha; Peas & beans (Pulses): 1783.7ha; Maize: 1343.3ha
Manipur,Thoubal,50031.4,Rice,33183.3,Rice: 33183.3ha; Rapeseed &Mustard: 3833.3ha; Peas & beans (Pulses): 2704.7ha; Potato: 2396.7ha; Sugarcane: 1450.0ha
Manipur,Ukhrul,21634.9,Rice,10116.7,Rice: 10116.7ha; Rapeseed &Mustard: 3780.0ha; Peas & beans (Pulses): 1950.0ha; Maize: 1350.0ha; Potato: 1096.7ha
Meghalaya,East Garo Hills,15645.0,Ginger,3230.2,Ginger: 3230.2ha; Rice: 3048.8ha; Cotton(lint): 1794.8ha; Arecanut: 1490.5ha; Tapioca: 1278.2ha
Meghalaya,East Jaintia Hills,2691.9,Rice,1470.2,Rice: 1470.2ha; Maize: 355.5ha; Arecanut: 256.5ha; Sweet potato: 189.2ha; Banana: 107.8ha
Meghalaya,East Khasi Hills,20156.5,Potato,5979.9,Potato: 5979.9ha; Arecanut: 5433.2ha; Maize: 2110.5ha; Rice: 1956.9ha; Banana: 794.8ha
Meghalaya,North Garo Hills,11330.6,Rice,2955.4,Rice: 2955.4ha; Ginger: 1588.2ha; Banana: 1041.2ha; Arecanut: 1037.2ha; Cotton(lint): 859.8ha
Meghalaya,Ri Bhoi,8364.9,Rice,3223.1,Rice: 3223.1ha; Maize: 1594.8ha; Ginger: 1030.8ha; Banana: 948.8ha; Soyabean: 260.8ha
Meghalaya,South Garo Hills,13693.9,Cashewnut,4441.5,Cashewnut: 4441.5ha; Rice: 2856.7ha; Maize: 1014.2ha; Mesta: 885.2ha; Jute: 518.2ha
Meghalaya,South West Garo Hills,21472.9,Rice,5916.9,Rice: 5916.9ha; Rapeseed &Mustard: 2762.0ha; Jute: 1753.0ha; Cashewnut: 1658.5ha; Maize: 1496.2ha
Meghalaya,South West Khasi Hills,4809.6,Maize,1370.2,Maize: 1370.2ha; Potato: 1032.9ha; Arecanut: 613.2ha; Rice: 610.9ha; Sweet potato: 323.8ha
Meghalaya,West Garo Hills,52212.3,Rice,10262.2,Rice: 10262.2ha; Rapeseed &Mustard: 5470.0ha; Arecanut: 5000.2ha; Cashewnut: 4007.5ha; Cotton(lint): 3965.8ha
Meghalaya,West Jaintia Hills,11550.3,Maize,2867.8,Maize: 2867.8ha; Rice: 2704.0ha; Arecanut: 1552.2ha; Turmeric: 1458.2ha; Sweet potato: 1022.2ha
Meghalaya,West Khasi Hills,11103.0,Maize,3096.5,Maize: 3096.5ha; Rice: 2015.6ha; Potato: 1896.6ha; Sweet potato: 1191.0ha; Arecanut: 790.5ha
Mizoram,Aizawl,4532.2,Rice,1948.9,Rice: 1948.9ha; other oilseeds: 859.0ha; Sugarcane: 414.2ha; Maize: 301.4ha; Other Kharif pulses: 254.5ha
Mizoram,Champhai,5621.8,Rice,4397.2,Rice: 4397.2ha; Maize: 352.6ha; Tobacco: 195.0ha; Other Rabi pulses: 143.5ha; Sugarcane: 139.3ha
Mizoram,Kolasib,11547.0,other oilseeds,6961.0,other oilseeds: 6961.0ha; Rice: 2830.6ha; Maize: 439.0ha; Other Rabi pulses: 339.0ha; Rapeseed &Mustard: 221.5ha
Mizoram,Lawngtlai,7627.9,other oilseeds,4464.0,other oilseeds: 4464.0ha; Rice: 1818.6ha; Maize: 369.5ha; Other Rabi pulses: 195.1ha; Sesamum: 190.8ha
Mizoram,Lunglei,8619.4,other oilseeds,6396.0,other oilseeds: 6396.0ha; Rice: 1327.6ha; Maize: 320.3ha; Other Rabi pulses: 102.1ha; Sugarcane: 94.5ha
Mizoram,Mamit,8463.6,other oilseeds,5746.0,other oilseeds: 5746.0ha; Rice: 1527.4ha; Maize: 480.8ha; Other Rabi pulses: 152.0ha; Cowpea(Lobia): 146.9ha
Mizoram,Saiha,831.3,Rice,534.6,Rice: 534.6ha; Maize: 146.3ha; other oilseeds: 86.0ha; Soyabean: 15.5ha; Cowpea(Lobia): 13.0ha
Mizoram,Serchhip,7107.6,other oilseeds,2130.0,other oilseeds: 2130.0ha; Rice: 2107.8ha; Maize: 906.6ha; Sugarcane: 516.2ha; Soyabean: 369.0ha
